east_m,north_m,ellipsoidal_height_m,orthometric_height_m,normal_east,normal_north,normal_up,surface_type,physical_material,water_mask,material_mask
0.000,0.000,310.250,265.000,-0.001251199,-0.000474800,0.999999105,terrain,grass,0,1
5000.000,0.000,322.762,277.512,-0.002431193,-0.000474799,0.999996932,terrain,grass,0,1
10000.000,0.000,334.562,289.312,-0.002231694,-0.000474799,0.999997397,terrain,grass,0,1
15000.000,0.000,345.079,299.829,-0.001944396,-0.000474799,0.999997997,terrain,grass,0,1
20000.000,0.000,354.006,308.756,-0.001627998,-0.000474799,0.999998562,terrain,grass,0,1
25000.000,0.000,361.359,316.109,-0.000735300,-0.000474800,0.999999617,terrain,grass,0,1
0.000,5000.000,314.998,269.748,-0.001251199,-0.000821799,0.999998880,terrain,grass,0,1
5000.000,5000.000,327.510,282.260,-0.002431192,-0.000821897,0.999996707,terrain,grass,0,1
10000.000,5000.000,339.310,294.060,-0.002231694,-0.000821798,0.999997172,terrain,grass,0,1
15000.000,5000.000,349.827,304.577,-0.001944396,-0.000821798,0.999997772,terrain,grass,0,1
20000.000,5000.000,358.754,313.504,-0.001627997,-0.000821899,0.999998337,terrain,grass,0,1
25000.000,5000.000,366.107,320.857,-0.000735300,-0.000821800,0.999999392,terrain,grass,0,1
0.000,10000.000,318.468,273.218,-0.001251299,-0.000627299,0.999999020,terrain,grass,0,1
5000.000,10000.000,330.981,285.731,-0.002431192,-0.000627398,0.999996848,terrain,grass,0,1
10000.000,10000.000,342.780,297.530,-0.002231594,-0.000627298,0.999997313,terrain,grass,0,1
15000.000,10000.000,353.297,308.047,-0.001944496,-0.000627299,0.999997913,terrain,grass,0,1
20000.000,10000.000,362.225,316.975,-0.001627998,-0.000627399,0.999998478,terrain,grass,0,1
25000.000,10000.000,369.577,324.327,-0.000735200,-0.000627300,0.999999533,terrain,grass,0,1
0.000,15000.000,321.271,276.021,-0.001251299,-0.000574999,0.999999052,terrain,grass,0,1
