source_x_m,source_y_m,bpv_orthometric_height_m,water_mask,material_mask
-725000.000,-1050000.000,316.109,0,1
-720000.000,-1050000.000,322.221,0,1
-715000.000,-1050000.000,327.678,0,1
-710000.000,-1050000.000,333.201,0,1
-705000.000,-1050000.000,339.496,0,1
-700000.000,-1050000.000,347.111,0,1
-725000.000,-1045000.000,320.857,0,1
-720000.000,-1045000.000,326.969,0,1
-715000.000,-1045000.000,332.426,0,1
-710000.000,-1045000.000,337.949,0,1
-705000.000,-1045000.000,344.244,0,1
-700000.000,-1045000.000,351.859,0,1
-725000.000,-1040000.000,324.327,0,1
-720000.000,-1040000.000,330.439,0,1
-715000.000,-1040000.000,335.897,0,1
-710000.000,-1040000.000,341.420,0,1
-705000.000,-1040000.000,347.714,0,1
-700000.000,-1040000.000,355.330,0,1
-725000.000,-1035000.000,327.130,0,1
-720000.000,-1035000.000,333.242,0,1
-715000.000,-1035000.000,338.700,0,1
-710000.000,-1035000.000,344.223,0,1
-705000.000,-1035000.000,350.517,0,1
-700000.000,-1035000.000,358.133,0,1
-725000.000,-1030000.000,330.077,0,1
-720000.000,-1030000.000,336.189,0,1
-715000.000,-1030000.000,341.647,0,1
-710000.000,-1030000.000,347.170,0,1
-705000.000,-1030000.000,353.464,0,1
-700000.000,-1030000.000,361.080,0,1
-725000.000,-1025000.000,333.936,0,1
-720000.000,-1025000.000,340.048,0,1
-715000.000,-1025000.000,345.506,0,1
-710000.000,-1025000.000,351.029,0,1
-705000.000,-1025000.000,357.323,0,1
-700000.000,-1025000.000,364.938,0,1
-725000.000,-1020000.000,339.200,0,1
-720000.000,-1020000.000,345.312,0,1
-715000.000,-1020000.000,350.770,0,1
-710000.000,-1020000.000,356.293,0,1
-705000.000,-1020000.000,362.587,0,1
-700000.000,-1020000.000,370.203,0,1
-725000.000,-1015000.000,345.941,0,1
-720000.000,-1015000.000,352.053,0,1
-715000.000,-1015000.000,357.511,0,1
-710000.000,-1015000.000,363.034,0,1
-705000.000,-1015000.000,369.328,0,1
-700000.000,-1015000.000,376.944,0,1
-725000.000,-1010000.000,353.785,0,1
-720000.000,-1010000.000,359.897,0,1
-715000.000,-1010000.000,365.355,0,1
-710000.000,-1010000.000,370.878,0,1
-705000.000,-1010000.000,377.172,0,1
-700000.000,-1010000.000,384.787,0,1
-725000.000,-1005000.000,362.027,0,1
-720000.000,-1005000.000,368.139,0,1
-715000.000,-1005000.000,373.597,0,1
-710000.000,-1005000.000,379.120,0,1
-705000.000,-1005000.000,385.414,0,1
-700000.000,-1005000.000,393.030,0,1
-725000.000,-1000000.000,369.843,0,1
-720000.000,-1000000.000,375.954,0,1
-715000.000,-1000000.000,381.412,0,1
-710000.000,-1000000.000,386.935,0,1
-705000.000,-1000000.000,393.230,0,1
-700000.000,-1000000.000,400.845,0,1
