source_x_m,source_y_m,bpv_orthometric_height_m,water_mask,material_mask
-750000.000,-1050000.000,265.000,0,1
-745000.000,-1050000.000,277.512,0,1
-740000.000,-1050000.000,289.312,0,1
-735000.000,-1050000.000,299.829,0,1
-730000.000,-1050000.000,308.756,0,1
-725000.000,-1050000.000,316.109,0,1
-750000.000,-1045000.000,269.748,0,1
-745000.000,-1045000.000,282.260,0,1
-740000.000,-1045000.000,294.060,0,1
-735000.000,-1045000.000,304.577,0,1
-730000.000,-1045000.000,313.504,0,1
-725000.000,-1045000.000,320.857,0,1
-750000.000,-1040000.000,273.218,0,1
-745000.000,-1040000.000,285.731,0,1
-740000.000,-1040000.000,297.530,0,1
-735000.000,-1040000.000,308.047,0,1
-730000.000,-1040000.000,316.975,0,1
-725000.000,-1040000.000,324.327,0,1
-750000.000,-1035000.000,276.021,0,1
-745000.000,-1035000.000,288.534,0,1
-740000.000,-1035000.000,300.333,0,1
-735000.000,-1035000.000,310.850,0,1
-730000.000,-1035000.000,319.778,0,1
-725000.000,-1035000.000,327.130,0,1
-750000.000,-1030000.000,278.968,0,1
-745000.000,-1030000.000,291.481,0,1
-740000.000,-1030000.000,303.280,1,2
-735000.000,-1030000.000,313.797,1,2
-730000.000,-1030000.000,322.725,0,1
-725000.000,-1030000.000,330.077,0,1
-750000.000,-1025000.000,282.827,0,1
-745000.000,-1025000.000,295.340,0,1
-740000.000,-1025000.000,307.139,0,1
-735000.000,-1025000.000,317.656,0,1
-730000.000,-1025000.000,326.584,0,1
-725000.000,-1025000.000,333.936,0,1
-750000.000,-1020000.000,288.092,0,1
-745000.000,-1020000.000,300.604,0,1
-740000.000,-1020000.000,312.403,0,1
-735000.000,-1020000.000,322.921,0,1
-730000.000,-1020000.000,331.848,0,1
-725000.000,-1020000.000,339.200,0,1
-750000.000,-1015000.000,294.832,0,1
-745000.000,-1015000.000,307.345,0,1
-740000.000,-1015000.000,319.144,0,1
-735000.000,-1015000.000,329.661,0,1
-730000.000,-1015000.000,338.589,0,1
-725000.000,-1015000.000,345.941,0,1
-750000.000,-1010000.000,302.676,0,1
-745000.000,-1010000.000,315.189,0,1
-740000.000,-1010000.000,326.988,0,1
-735000.000,-1010000.000,337.505,0,1
-730000.000,-1010000.000,346.433,0,1
-725000.000,-1010000.000,353.785,0,1
-750000.000,-1005000.000,310.918,0,1
-745000.000,-1005000.000,323.431,0,1
-740000.000,-1005000.000,335.230,0,1
-735000.000,-1005000.000,345.747,0,1
-730000.000,-1005000.000,354.675,0,1
-725000.000,-1005000.000,362.027,0,1
-750000.000,-1000000.000,318.734,0,1
-745000.000,-1000000.000,331.246,0,1
-740000.000,-1000000.000,343.045,0,1
-735000.000,-1000000.000,353.563,0,1
-730000.000,-1000000.000,362.490,0,1
-725000.000,-1000000.000,369.843,0,1
