east_m,north_m,ellipsoidal_height_m,orthometric_height_m,normal_east,normal_north,normal_up,surface_type,physical_material,water_mask,material_mask
25000.000,0.000,361.359,316.109,-0.000611200,-0.000474800,0.999999700,terrain,grass,0,1
35000.000,0.000,372.928,327.678,-0.001097999,-0.000474800,0.999999284,terrain,grass,0,1
45000.000,0.000,384.746,339.496,-0.001390998,-0.000474799,0.999998920,terrain,grass,0,1
25000.000,10000.000,369.577,324.327,-0.000611200,-0.000627300,0.999999616,terrain,grass,0,1
35000.000,10000.000,381.147,335.897,-0.001098099,-0.000627399,0.999999200,terrain,grass,0,1
45000.000,10000.000,392.964,347.714,-0.001390998,-0.000627299,0.999998836,terrain,grass,0,1
25000.000,20000.000,375.327,330.077,-0.000611200,-0.000680600,0.999999582,terrain,grass,0,1
35000.000,20000.000,386.897,341.647,-0.001098099,-0.000680599,0.999999165,terrain,grass,0,1
45000.000,20000.000,398.714,353.464,-0.001390998,-0.000680599,0.999998801,terrain,grass,0,1
25000.000,30000.000,384.450,339.200,-0.000611199,-0.001200499,0.999999093,terrain,grass,0,1
35000.000,30000.000,396.020,350.770,-0.001098099,-0.001200498,0.999998676,terrain,grass,0,1
45000.000,30000.000,407.837,362.587,-0.001390998,-0.001200498,0.999998312,terrain,grass,0,1
25000.000,40000.000,399.035,353.785,-0.000611199,-0.001608598,0.999998519,terrain,grass,0,1
35000.000,40000.000,410.605,365.355,-0.001098098,-0.001608597,0.999998103,terrain,grass,0,1
45000.000,40000.000,422.422,377.172,-0.001390897,-0.001608596,0.999997739,terrain,grass,0,1
25000.000,50000.000,415.093,369.843,-0.000611100,-0.000781600,0.999999508,terrain,grass,0,1
35000.000,50000.000,426.662,381.412,-0.001098099,-0.000781499,0.999999092,terrain,grass,0,1
45000.000,50000.000,438.480,393.230,-0.001390998,-0.000781599,0.999998727,terrain,grass,0,1
