east_m,north_m,ellipsoidal_height_m,orthometric_height_m,normal_east,normal_north,normal_up,surface_type,physical_material,water_mask,material_mask
0.000,0.000,310.250,265.000,-0.001251199,-0.000474800,0.999999105,terrain,grass,0,1
10000.000,0.000,334.562,289.312,-0.002231694,-0.000474799,0.999997397,terrain,grass,0,1
20000.000,0.000,354.006,308.756,-0.001627998,-0.000474799,0.999998562,terrain,grass,0,1
0.000,10000.000,318.468,273.218,-0.001251299,-0.000627299,0.999999020,terrain,grass,0,1
10000.000,10000.000,342.780,297.530,-0.002231594,-0.000627298,0.999997313,terrain,grass,0,1
20000.000,10000.000,362.225,316.975,-0.001627998,-0.000627399,0.999998478,terrain,grass,0,1
0.000,20000.000,324.218,278.968,-0.001251299,-0.000680599,0.999998986,terrain,grass,0,1
10000.000,20000.000,348.530,303.280,-0.002231594,-0.000680598,0.999997278,water,water,1,2
20000.000,20000.000,367.975,322.725,-0.001627997,-0.000680599,0.999998443,terrain,grass,0,1
0.000,30000.000,333.342,288.092,-0.001251198,-0.001200498,0.999998497,terrain,grass,0,1
10000.000,30000.000,357.653,312.403,-0.002231693,-0.001200496,0.999996789,terrain,grass,0,1
20000.000,30000.000,377.098,331.848,-0.001627897,-0.001200498,0.999997954,terrain,grass,0,1
0.000,40000.000,347.926,302.676,-0.001251297,-0.001608597,0.999997923,terrain,grass,0,1
10000.000,40000.000,372.238,326.988,-0.002231592,-0.001608594,0.999996216,terrain,grass,0,1
20000.000,40000.000,391.683,346.433,-0.001627996,-0.001608596,0.999997381,terrain,grass,0,1
0.000,50000.000,363.984,318.734,-0.001251199,-0.000781599,0.999998912,terrain,grass,0,1
10000.000,50000.000,388.295,343.045,-0.002231694,-0.000781498,0.999997204,terrain,grass,0,1
20000.000,50000.000,407.740,362.490,-0.001627997,-0.000781499,0.999998369,terrain,grass,0,1
